策略,方向,入场时间,出场时间,信号价,入场价,出场价,结构止损,实际止损,止盈,强平价,名义仓位,保证金,净盈亏U,本次收益率%,R倍数,持仓小时,出场原因,入场前权益,出场后权益,备注
高收益_最多持有4H,做多,2025-12-16 08:00,2025-12-16 11:30,86390.90,86399.64,85461.35,85469.90,85469.90,87794.25,82511.66,1954.61,97.73,-23.17,-2.37,-1.01,3.50,止损,977.31,954.13,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做空,2026-01-06 08:00,2026-01-06 12:00,93817.80,93808.52,93732.27,94778.80,94778.80,92353.10,98029.90,1908.27,95.41,-0.36,-0.04,0.08,4.00,时间止盈止损,954.13,953.78,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-01-07 00:00,2026-01-07 00:30,93605.00,93595.64,92365.48,94421.90,94421.90,92356.25,97807.44,1907.56,95.38,23.18,2.43,1.49,0.50,止盈,953.78,976.95,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-01-15 08:00,2026-01-15 12:00,96914.60,96904.81,95956.49,97900.00,97900.00,95412.02,101265.52,1953.91,97.70,17.18,1.76,0.95,4.00,时间止盈止损,976.95,994.13,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做多,2026-02-02 16:00,2026-02-02 20:00,76604.20,76611.56,77710.93,74869.10,74869.10,79225.25,73164.04,1988.26,99.41,26.53,2.67,0.63,4.00,时间止盈止损,994.13,1020.66,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2026-02-24 20:00,2026-02-24 21:00,63194.30,63200.52,62891.51,62897.80,62897.80,63654.60,60356.50,2041.32,102.07,-12.02,-1.18,-1.02,1.00,止损,1020.66,1008.64,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做空,2026-03-16 16:00,2026-03-16 20:00,73428.80,73421.46,73525.55,74449.70,74449.70,71879.09,76725.42,2017.29,100.86,-4.88,-0.48,-0.10,4.00,时间止盈止损,1008.64,1003.76,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-03-17 00:00,2026-03-17 04:00,73240.90,73233.48,73937.39,74499.90,74499.90,71333.84,76528.98,2007.53,100.38,-21.31,-2.12,-0.56,4.00,时间止盈止损,1003.76,982.45,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-03-17 12:00,2026-03-17 16:00,74438.80,74431.36,74223.32,75983.80,75983.80,72102.69,77780.77,1964.90,98.25,3.53,0.36,0.13,4.00,时间止盈止损,982.45,985.98,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-04-09 00:00,2026-04-09 04:00,71265.30,71258.17,71301.13,72876.50,72876.50,68830.68,74464.79,1971.96,98.60,-3.16,-0.32,-0.03,4.00,时间止盈止损,985.98,982.82,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-04-10 08:00,2026-04-10 12:00,71759.00,71751.92,71845.48,73146.10,73146.10,69660.66,74980.76,1965.64,98.28,-4.53,-0.46,-0.07,4.00,时间止盈止损,982.82,978.29,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-04-14 20:00,2026-04-14 21:30,74350.10,74342.57,74877.49,74870.00,74870.00,73551.41,77687.98,1956.58,97.83,-16.04,-1.64,-1.01,1.50,止损,978.29,962.25,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做空,2026-05-05 16:00,2026-05-05 20:00,80821.90,80813.72,80988.10,81309.90,81309.90,80069.44,84450.34,1924.49,96.22,-6.08,-0.63,-0.35,4.00,时间止盈止损,962.25,956.17,4H触及唐奇安60上轨后收阴反转
高收益_最多持有4H,做多,2026-05-18 16:00,2026-05-18 20:00,77036.90,77044.60,77245.97,76535.80,76535.80,77807.81,73577.60,1912.34,95.62,3.08,0.32,0.40,4.00,时间止盈止损,956.17,959.25,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2026-05-23 12:00,2026-05-23 15:30,75605.00,75612.66,75172.48,75180.00,75180.00,76261.65,72210.09,1918.50,95.93,-13.08,-1.36,-1.02,3.50,止损,959.25,946.17,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2026-05-23 20:00,2026-05-23 22:45,74753.90,74761.38,75444.24,74301.10,74301.10,75451.79,71397.11,1892.34,94.62,15.38,1.63,1.48,2.75,止盈,946.17,961.55,4H触及唐奇安60下轨后收阳反转
高收益_最多持有4H,做多,2026-05-28 16:00,2026-05-28 20:00,73457.40,73464.75,73466.65,72678.10,72678.10,74644.71,70158.83,1923.11,96.16,-1.87,-0.19,0.00,4.00,时间止盈止损,961.55,959.68,4H触及唐奇安60下轨后收阳反转
